BSSID,SSID,BeaconCount,CaptureTimeSpan_ms,MeanInterBeaconTime_ms,StdInterBeaconTime_ms,MinInterBeaconTime_ms,MaxInterBeaconTime_ms,ExpectedBeaconInterval_TU,TimingJitter,MissedBeacons,MeanSeqGap,StdSeqGap,MaxSeqGap,SeqNumberResets,ChannelChanges,UniqueChannels,MeanRSSI,StdRSSI,RSSIRange,Encryption,HasHT,SuspicionScore,SuspicionReasons
A2:E5:32:B6:46:94,J5G,159,1414225,8950.791139240506,44330.628920473966,63.0,337927.0,100,4.952705099013494,116,6.468354430379747,423.1266042167532,2353.0,4,64,3,-84.50943396226415,7.224140196335314,31,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
9E:A2:F4:A9:D2:8F,Home Sweet_5G,564,1424575,2530.3285968028417,23200.13671331243,43.0,448494.0,100,9.16882365928986,345,-1.5097690941385435,307.3180528061304,1378.0,3,311,5,-82.90425531914893,7.817731563435075,44,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
BC:07:1D:D4:36:89,Villa7,261,1437084,5527.246153846154,32994.280265880916,5.0,315436.0,100,5.969388614428243,187,-9.038461538461538,1224.994995837836,3893.0,20,148,4,-82.29501915708812,6.662837096365821,29,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
48:55:5E:19:E8:BA,Villa-144,120,1427598,11996.621848739496,59009.14249216705,53.0,493934.0,100,4.918813248535329,80,-9.92436974789916,510.3587996704696,2541.0,3,64,4,-84.89166666666667,6.3029882646587385,25,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
C2:07:1D:D4:35:49,,219,1427859,6549.811926605505,33902.186000049864,1.0,331372.0,100,5.176054881387091,160,7.481651376146789,281.7775573527373,2093.0,11,123,4,-79.99086757990868,7.697247731387355,38,WEP,0,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
48:55:5E:2C:71:FA,advikasarah,255,1466163,5772.295275590551,33435.63366831554,52.0,337489.0,100,5.7924330038889735,160,-4.133858267716535,327.3765008602324,1916.0,4,145,5,-83.9843137254902,8.107044000181192,37,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
C2:07:1D:D4:36:89,,227,1430392,6329.168141592921,35977.48294979394,3.0,321745.0,100,5.684393610540857,158,-10.716814159292035,431.7344753747825,3138.0,16,117,4,-81.36563876651982,6.378424633636905,30,WEP,0,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
9C:53:22:3A:F5:19,Santhanam G_1F,213,1434009,6764.193396226415,32431.217551348498,1.0,331358.0,100,4.794543214072881,121,-3.7122641509433962,493.07707523647787,793.0,20,126,5,-83.22065727699531,7.116493302493842,28,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
9C:53:22:77:43:12,ACT-ai_103743468848,66,1430999,22015.36923076923,74172.12478472144,43.0,328255.0,100,3.369106554782989,52,25.923076923076923,452.371608432033,2447.0,3,33,3,-82.06060606060606,6.621361207669028,27,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
E0:D3:62:1B:7F:E2,Deco_Nest,192,1470032,7696.502617801048,39559.708289179696,62.0,331305.0,100,5.139959050042169,160,-11.827225130890053,503.4818206012445,3236.0,4,122,5,-80.63020833333333,8.075800834510076,33,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
