Timestamp_ms,SSID,BSSID,RSSI,Channel,SequenceNumber,BeaconInterval,BeaconTimestamp,Encryption,Privacy,ShortPreamble,ShortSlot,RateCount,SupportedRates,ExtRateCount,DSChannel,CountryCode,HasHT,HTChannelWidth,HTStreams,HasExtCap,OUI,VendorName,IsHidden,FrameLength
3749,Jyosthna,50:2B:73:99:B3:C1,-90,9,3033,100,71235276829,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,9,,1,20,2,1,50:2B:73,Unknown,0,228
3802,TP-Link_26A2_2GEXT,94:A6:7E:49:80:14,-90,9,2563,100,86116762023,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,IN,1,40,2,0,94:A6:7E,Unknown,0,299
3855,Home Sweet,9C:A2:F4:AD:D2:8F,-87,10,2884,100,189099929938,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,,1,40,2,1,9C:A2:F4,Unknown,0,240
3898,Home Sweet_5G,9E:A2:F4:A9:D2:8F,-85,10,2885,100,189099932068,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,,1,40,2,1,9E:A2:F4,Unknown,0,243
3950,TP-Link_26A2_2GEXT,94:A6:7E:49:80:14,-91,10,2564,100,86116864417,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,IN,1,40,2,0,94:A6:7E,Unknown,0,299
4003,104A_4G,04:AB:08:D8:1A:42,-86,10,3064,100,303615285055,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,IN,1,20,2,1,04:AB:08,Unknown,0,280
4065,Home Sweet,9C:A2:F4:AD:D2:8F,-85,10,2886,100,189100032334,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,,1,40,2,1,9C:A2:F4,Unknown,0,240
4107,Home Sweet_5G,9E:A2:F4:A9:D2:8F,-87,10,2887,100,189100034464,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,,1,40,2,1,9E:A2:F4,Unknown,0,243
4160,TP-Link_26A2_2GEXT,94:A6:7E:49:80:14,-93,10,2565,100,86116966822,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,IN,1,40,2,0,94:A6:7E,Unknown,0,299
4212,Home Sweet,9C:A2:F4:AD:D2:8F,-85,10,2888,100,189100134735,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,,1,40,2,1,9C:A2:F4,Unknown,0,240
